id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
170s55psrkrXaOTrHtWSCD,"Siegfried, WWV 86C, Act I: Den der Bruder schuf","Wagner: Siegfried, WWV 86C",1mY0T2dS2YenbXEvCFMvdu,"['Richard Wagner', ""Simon O'Neill"", 'David Cangelosi', 'Hong Kong Philharmonic Orchestra', 'Jaap Van Zweden']","['1C1x4MVkql8AiABuTw6DgE', '3nOe1h9SyhLnFEB5iYlbxw', '5ymNhUZFM6Zu1XIDiwfktd', '2wFEejnAmdHGXYdIX9HN3U', '5UpK57VBAZQ03iTyX5JlXB']",17,1,False,0.3979999999999999,0.351,2,-17.373,0,0.0471,0.866,4.83e-05,0.149,0.446,75.561,170387,4.0,2017,2017-11-10
0IFV7fKlrs17IwCaBazuJN,Dejame,20 Años Celebrando,5SEEUhmdbhGv7G8PViKi0W,['La Beriso'],['0Dy32zfSrQ332Bz8wsthKJ'],13,1,False,0.597,0.568,6,-6.377999999999999,1,0.0321,0.0934,8.79e-05,0.0966,0.413,133.053,172693,4.0,2018,2018-11-16
2famriH3O9cb6LHu8iRpUI,Control,Control,4N7hL7GzcAfFYHr9zsLWJi,"['Bishu', 'Anjulie']","['1DzQInbDVhE9Lh5s6T0DUL', '4DTbdShHu2RPYEEMUp2XWV']",1,1,False,0.599,0.72,5,-5.102,0,0.07,0.1,0.0,0.206,0.249,79.992,187594,4.0,2019,2019-01-29
5A6KFJNrDxvnqtJ0S5PACM,"String Quartet No. 1 in A Major, Op. 4: III. Breit und kraftig",Zemlinsky: String Quartets Nos. 1-4 / 2 Satze / Maiblumen Bluhten Uberall,17DHbNKXKpn77favZKYZJ7,"['Alexander von Zemlinsky', 'Schoenberg Quartet']","['5z1DT2Qv5crikZIIJt5uO9', '3Q1P8oSPRPQDUeSSEIec0s']",3,1,False,0.161,0.0592,9,-21.465,1,0.0413,0.968,0.862,0.118,0.0399,92.314,448920,4.0,2002,2002-04-01
1ji83FVQVscuimcIxmcudF,So Good,Nine Lives,60UNfMS8DphdOhakDXtqTP,['Little Charlie & The Nightcats'],['7GlnrRLOQtsu3wtX3a2xEl'],3,1,False,0.857,0.368,4,-9.378,1,0.0545,0.623,0.000307,0.141,0.843,101.042,223653,4.0,2005,2005
0m57c5sRtG2prVAvCiwM5s,Partido Alto,Light As A Feather,4Bc3Vi6eMdJKEGN3haOTGF,['Azymuth'],['5lYcr7Yue9FUB7MJDBtTJx'],2,1,False,0.715,0.366,5,-16.666,1,0.0442,0.293,0.6759999999999999,0.0655,0.726,94.1,250600,4.0,1979,1979
60Dz5gOMWiOQ3kpFL3w42e,"Symphony No. 9 in E Minor: 2nd Movement, New World",Angelsong,4BmzZNu7bpW3iIdAhHBhsw,"[""Dan Gibson's Solitudes""]",['0Wv8mXdyQifZvmp6SKXRwr'],7,1,False,0.231,0.0667,1,-25.07,1,0.0556,0.959,0.8440000000000001,0.152,0.036,80.22,327760,3.0,2013,2013-01-01
7ATOKFfvdhT8VyNnMii6V2,Dragon & Kitty,Seventeen Oh-Two Oh-Six,6XweCSSUaSF7WfgLL4Bx1V,['Jesse Rivest'],['1AaY7NYQidTReRR6t1l9OF'],3,1,False,0.78,0.184,5,-16.118,0,0.191,0.8370000000000001,0.0,0.0993,0.2289999999999999,125.966,219627,4.0,2006,2006-05-09
5gl7Q8ina6eQxFYKFsDjU8,Habits,"Choices, Chances & Changes",21Iz1fDScPXkEcuxYOuGeI,['Euroz'],['23qSMYgeDsJv22G2rNLVgy'],6,1,True,0.631,0.6890000000000001,3,-8.095,0,0.0588,0.00795,0.0,0.151,0.439,127.053,230551,4.0,2020,2020-10-20
4CiXzr6E7Bl1hgMrG2EeOL,Second Avenue Square Dance,Yiddish-American Klezmer Music - 1925-1956,4huL77UTbJn9tzMdbWSOZ1,['Dave Tarras'],['3T2o71fLzLTVuTvovdCPz1'],20,1,False,0.633,0.595,4,-9.88,0,0.0354,0.777,0.959,0.23,0.914,118.883,164120,4.0,2005,2005-06-20
